Owner,Team,League,Recipient,Amount,Election Year,Party,Desempenho
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",SCHATZ FOR SENATE,"$2,000 ",2016,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",ALASKANS FOR DAN SULLIVAN,"$2,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",BRADY FOR CONGRESS,"$2,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",CATHY MCMORRIS RODGERS FOR CONGRESS,"$2,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",CRAPO VICTORY COMMITTEE,"$2,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",FRIENDS OF DAVE JOYCE,"$2,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",FRIENDS OF ROY BLUNT,"$2,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",GREG PENCE FOR CONGRESS,"$2,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",JEFF FORTENBERRY FOR UNITED STATES CONGRESS,"$2,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",JIM RISCH FOR U S SENATE COMMITTEE,"$2,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",MAKING AMERICA PROSPEROUS PAC,"$2,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",PORTMAN FOR SENATE COMMITTEE,"$2,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",STEVE DAINES FOR MONTANA,"$2,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL","BEN CARDIN FOR SENATE, INC.","$2,000 ",2018,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",CORY BOOKER FOR SENATE,"$2,000 ",2018,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",GARAMENDI FOR CONGRESS,"$2,000 ",2018,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",MARTIN HEINRICH FOR SENATE,"$2,000 ",2018,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,"$2,000 ",2018,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",WYDEN FOR SENATE,"$2,000 ",2018,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",BOB CORKER FOR SENATE 2018 INC,"$1,000 ",2016,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",CARLOS CURBELO CONGRESS,"$1,000 ",2016,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",COLLINS FOR SENATOR,"$1,000 ",2016,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",CORY GARDNER FOR SENATE,"$1,000 ",2016,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",FRIENDS OF JIM BRIDENSTINE INC.,"$1,000 ",2016,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",JEFF FLAKE FOR US SENATE INC,"$1,000 ",2016,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",RYAN COSTELLO FOR CONGRESS,"$1,000 ",2016,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",BLUMENAUER FOR CONGRESS,"$1,000 ",2016,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",FRIENDS OF BRADY WALKINSHAW,"$1,000 ",2016,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",WHITEHOUSE FOR SENATE,"$1,000 ",2016,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",CARLOS CURBELO CONGRESS,"$1,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",CULBERSON FOR CONGRESS,"$1,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",DEBBIE DINGELL FOR CONGRESS,"$1,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",MARTHA ROBY FOR CONGRESS,"$1,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",ROBERT ADERHOLT FOR CONGRESS,"$1,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",ROYCE CAMPAIGN COMMITTEE,"$1,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",SANFORD FOR CONGRESS,"$1,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",VOLUNTEERS FOR SHIMKUS,"$1,000 ",2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",DIANA DEGETTE FOR CONGRESS,"$1,000 ",2018,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",VISCLOSKY FOR CONGRESS,"$1,000 ",2018,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",COMSTOCK FOR CONGRESS,$500 ,2016,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",MIKE HONDA FOR CONGRESS,$500 ,2016,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",REED COMMITTEE; THE,$500 ,2016,Democrat,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",SAWTOOTH POLITICAL ACTION COMMITTEE (SAWTOOTH PAC),$500 ,2018,Republican,
Jody Allen (Paul G. Allen Trust),PORTLAND TRAIL BLAZERS SEATTLE SEAHAWKS,"NBA, NFL",WALDEN FOR CONGRESS,$500 ,2018,Republican,
Joe Ellis,DENVER BRONCOS,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan,0.563
Joe Ellis,DENVER BRONCOS,NFL,Stapleton Victory Fund,"$10,000 ",2018,Republican,0.375
Joe Ellis,DENVER BRONCOS,NFL,Gridiron-PAC,"$5,000 ",2018,Bipartisan,0.375
Joe Ellis,DENVER BRONCOS,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan,0.313
Joe Ellis,DENVER BRONCOS,NFL,Colorado Republican Committee,"$2,000 ",2016,Republican,0.563
Joe Gibbs,JOE GIBBS RACING,NASCAR,"Pittenger for Congress, LLC","$5,000 ",2018,Republican,
Joe Gibbs,JOE GIBBS RACING,NASCAR,The Pittenger Victory Fund,"$5,000 ",2018,Republican,
Joel Glazer,TAMPA BAY BUCCANEERS,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan,0.563
Joel Glazer,TAMPA BAY BUCCANEERS,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan,0.313
Joel Glazer,TAMPA BAY BUCCANEERS,NFL,Hillary Victory Fund,"$5,400 ",2016,Democrat,0.563
Joel Glazer,TAMPA BAY BUCCANEERS,NFL,Charlie Crist for Congress,"$5,400 ",2018,Democrat,0.313
Joel Glazer,TAMPA BAY BUCCANEERS,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan,0.688
John Fisher,OAKLAND ATHLETICS,MLB,COTTON VICTORY,"$10,400 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,BOB CORKER FOR SENATE 2018 INC,"$5,400 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,COMSTOCK FOR CONGRESS,"$5,400 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,DAN CRENSHAW FOR CONGRESS,"$5,400 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,FRIENDS OF ANDY COLEMAN,"$5,400 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,HATCH ELECTION COMMITTEE INC,"$5,400 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,HELLER FOR SENATE,"$5,400 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,HURD VICTORY FUND,"$5,400 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,JEFF FLAKE FOR US SENATE INC,"$5,400 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,MIMI WALTERS VICTORY FUND,"$5,400 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,SASSE LEADERSHIP COMMITTEE,"$5,400 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,WINNING WOMEN FOR THE US SENATE,"$5,400 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,CARPER FOR SENATE,"$5,400 ",2018,Democrat,0.599
John Fisher,OAKLAND ATHLETICS,MLB,DIANA DEGETTE FOR CONGRESS,"$5,400 ",2018,Democrat,0.599
John Fisher,OAKLAND ATHLETICS,MLB,FEINSTEIN FOR SENATE 2024,"$5,400 ",2018,Democrat,0.599
John Fisher,OAKLAND ATHLETICS,MLB,MORE CONSERVATIVES PAC (MCPAC),"$5,000 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,GAP INC. POLITICAL ACTION COMMITTEE; THE,"$5,000 ",2020,Bipartisan,
John Fisher,OAKLAND ATHLETICS,MLB,BRADY FOR CONGRESS,"$2,800 ",2020,Republican,
John Fisher,OAKLAND ATHLETICS,MLB,MAKING AMERICA PROSPEROUS PAC,"$2,700 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,CORY BOOKER FOR SENATE,"$2,700 ",2018,Democrat,0.599
John Fisher,OAKLAND ATHLETICS,MLB,DOUG JONES FOR SENATE COMMITTEE,"$2,700 ",2018,Democrat,0.599
John Fisher,OAKLAND ATHLETICS,MLB,KENNETH SHEETS FOR CONGRESS,"$1,000 ",2018,Republican,0.599
John Fisher,OAKLAND ATHLETICS,MLB,VAN TAYLOR CAMPAIGN,"$1,000 ",2018,Republican,0.599
John Mara,NEW YORK GIANTS,NFL,GRIDIRON-PAC,"$10,000 ",2016,Bipartisan,0.688
John Mara,NEW YORK GIANTS,NFL,GRIDIRON-PAC,"$5,000 ",2018,Bipartisan,0.313
John Mara,NEW YORK GIANTS,NFL,GRIDIRON-PAC,"$5,000 ",2020,Bipartisan,0.375
John Mara,NEW YORK GIANTS,NFL,HATCH ELECTION COMMITTEE INC,"$1,000 ",2016,Republican,0.688
John Middleton,PHILADELPHIA PHILLIES,MLB,Office of the Commissioner of Major League Baseball PAC,"$10,000 ",2018,Bipartisan,0.494
John Middleton,PHILADELPHIA PHILLIES,MLB,Office of the Commissioner of Major League Baseball PAC,"$5,000 ",2020,Bipartisan,
John Middleton,PHILADELPHIA PHILLIES,MLB,Brier for Congress,"$2,800 ",2020,Democrat,
John Middleton,PHILADELPHIA PHILLIES,MLB,Cathy McMorris Rodgers for Congress,"$2,700 ",2016,Republican,0.438
John Middleton,PHILADELPHIA PHILLIES,MLB,"Kasich for America, Inc.","$2,700 ",2016,Republican,0.438
John Middleton,PHILADELPHIA PHILLIES,MLB,MCMORRIS RODGERS AMERICAN DREAM PROJECT; THE,"$2,700 ",2016,Republican,0.438
John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Stivers Victory Committee,"$10,400 ",2016,Republican,
John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Stivers for Congress,"$5,400 ",2018,Republican,
John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Portman Victory Committee,"$5,000 ",2016,Republican,
John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Team Josh,"$5,000 ",2018,Republican,
John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Ohio Republican Party State Central & Executive Committee,"$4,900 ",2016,Republican,
John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Anthony Gonzalez for Congress,"$2,700 ",2018,Republican,
John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Stivers for Congress,"$1,000 ",2020,Republican,
John P. McConnell,COLUMBUS BLUE JACKETS,NHL,Tiberi for Congress,$500 ,2016,Republican,
John Rogers,CHICAGO SKY,WNBA,BLACK ECONOMIC ALLIANCE PAC,"$50,000 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,"$43,400 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,DSCC,"$35,000 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,DSCC,"$32,500 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,"$25,000 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,Hillary Action Fund,"$20,000 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,Hillary For America,"$20,000 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,ILLINOIS VOICES MATTER,"$15,000 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,DCCC,"$11,000 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,"$10,000 ",2016,"Bipartisan, but mostly Republican",
John Rogers,CHICAGO SKY,WNBA,DCCC,"$10,000 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,"$10,000 ",2018,"Bipartisan, but mostly Republican",0.382
John Rogers,CHICAGO SKY,WNBA,DSCC,"$10,000 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),"$10,000 ",2020,"Bipartisan, but mostly Republican",0.545
John Rogers,CHICAGO SKY,WNBA,"AMY MCGRATH FOR SENATE, INC.","$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,BEATTY FOR CONGRESS,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,CHUY GARCIA FOR CONGRESS,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,CITIZENS FOR RUSH,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,CORY BOOKER FOR SENATE,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,ELISSA SLOTKIN FOR CONGRESS,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,FRIENDS OF DICK DURBIN COMMITTEE,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,FRIENDS OF RAJA FOR CONGRESS,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,HICKENLOOPER FOR COLORADO,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,KAREN BASS FOR CONGRESS,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,KENNEDY FOR MASSACHUSETTS,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,LAUREN UNDERWOOD FOR CONGRESS,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,MAYA R. CUMMINGS FOR CONGRESS,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,MICHAEL BLAKE FOR CONGRESS,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,PETERS FOR MICHIGAN,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,WARNOCK FOR GEORGIA,"$5,600 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,FRIENDS OF MARK WARNER,"$5,500 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,ANDREA ZOPP FOR US SENATE,"$5,400 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,CATHERINE CORTEZ MASTO FOR SENATE,"$5,400 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,"$5,400 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,FRIENDS OF RAJA FOR CONGRESS,"$5,400 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,LON JOHNSON FOR CONGRESS,"$5,400 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,ROBIN KELLY FOR CONGRESS,"$5,400 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,RUSS FOR WISCONSIN,"$5,400 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,STRICKLAND FOR SENATE,"$5,400 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,FRIENDS OF RAJA FOR CONGRESS,"$5,400 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,KAINE FOR VIRGINIA,"$5,400 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,TERRI SEWELL FOR CONGRESS,"$5,400 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,ROBIN KELLY FOR CONGRESS,"$5,400 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,21ST CENTURY LEADERS,"$5,000 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,ILLINOIS SENATE VICTORY,"$5,000 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,PEAKS AND PALMS SENATE VICTORY,"$5,000 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,44 FUND,"$5,000 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,FEARLESS FOR THE PEOPLE PAC,"$5,000 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,PERIMETER PAC,"$5,000 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,RUST BELT RISING PAC,"$5,000 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,Unite The Country,"$5,000 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,JAIME HARRISON FOR US SENATE,"$3,800 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,MIKIE SHERRILL FOR CONGRESS,"$3,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,LAUREN UNDERWOOD FOR CONGRESS,"$3,200 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,MCCASKILL FOR MISSOURI,"$3,000 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,PEMBERTON FOR MA,"$3,000 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,CLAIRE RUSSO FOR CONGRESS,"$2,800 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,DEVAL FOR ALL,"$2,800 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,DR. AL GROSS FOR U.S. SENATE,"$2,800 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,JACKIE GORDON FOR CONGRESS,"$2,800 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,Kamala Harris For The People,"$2,800 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,LULU FOR TEXAS,"$2,800 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,MIKIE SHERRILL FOR CONGRESS,"$2,800 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,NICK COLVIN FOR CONGRESS,"$2,800 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,SCHAKOWSKY FOR CONGRESS,"$2,800 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,Sherman for Congress,"$2,800 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,BENNET FOR COLORADO,"$2,700 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,CLYDE WILLIAMS FOR CONGRESS,"$2,700 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,ERIC LYNN FOR CONGRESS,"$2,700 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,EVAN BAYH COMMITTEE,"$2,700 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,FRIENDS OF CLYDE WILLIAMS,"$2,700 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,FRIENDS OF DICK DURBIN,"$2,700 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,GLENN IVEY FOR CONGRESS,"$2,700 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,KATIE MCGINTY FOR SENATE,"$2,700 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,O'MALLEY FOR PRESIDENT,"$2,700 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,SCHAKOWSKY FOR CONGRESS,"$2,700 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,TAMMY FOR ILLINOIS,"$2,700 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,WILL JAWANDO FOR CONGRESS,"$2,700 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,TIM SCOTT FOR SENATE,"$2,700 ",2018,Republican,0.382
John Rogers,CHICAGO SKY,WNBA,ALEJANDRA CAMPOVERDI FOR CONGRESS,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,BILL FOSTER FOR CONGRESS,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,COMMITTEE TO ELECT DAN KOH,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,DOUG JONES FOR SENATE COMMITTEE,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,ELISSA SLOTKIN FOR CONGRESS,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,FRIENDS OF DICK DURBIN COMMITTEE,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,HEIDI JOE VICTORY FUND,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,KAREN BASS FOR CONGRESS,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,KIND FOR CONGRESS COMMITTEE,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,Lisa Blunt Rochester for Congress,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,MANCHIN FOR WEST VIRGINIA,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,MENENDEZ FOR SENATE,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,MONTANA NORTH DAKOTA VICTORY FUND,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,ROBIN KELLY FOR CONGRESS,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,RUFUS GIFFORD FOR CONGRESS,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,TOM O'HALLERAN FOR CONGRESS,"$2,700 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,FRIENDS FOR HARRY REID,"$2,600 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,FRIENDS OF SCHUMER,"$2,600 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,BETO FOR TEXAS,"$2,500 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,CONGRESSIONAL BLACK CAUCUS PAC,"$2,500 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,"$2,500 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,Friends for Gregory Meeks,"$2,500 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,DONNELLY FOR INDIANA,"$2,350 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,TERRI BONOFF FOR CONGRESS,"$2,000 ",2016,Democrat,
John Rogers,CHICAGO SKY,WNBA,BOB CASEY FOR SENATE INC,"$2,000 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,DONNA SHALALA FOR CONGRESS,"$2,000 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,HALEY STEVENS FOR CONGRESS,"$2,000 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,JOSH HARDER FOR CONGRESS,"$2,000 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,QUIGLEY FOR CONGRESS,"$1,500 ",2018,Democrat,0.382
John Rogers,CHICAGO SKY,WNBA,DELBENE FOR CONGRESS,"$1,500 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,DOUG JONES FOR SENATE COMMITTEE,"$1,500 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,MAGGIE FOR NH,"$1,500 ",2020,Democrat,0.545
John Rogers,CHICAGO SKY,WNBA,MCCAFFITY FOR CONGRESS,"$1,500 ",2020,Democrat,0.545
