Unnamed: 0,Owner,Team,League,Recipient,Amount,Election Year,Party,Performance,Degree
738,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,BOEHNER FOR SPEAKER,"$10,000 ",2016,Republican,0.622,
739,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,SOUTHERN CALIFORNIA FUND,"$10,000 ",2016,Democrat,0.622,
740,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,Republican Party of Wisconsin,"$10,000 ",2018,Republican,0.598,
741,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,GARDNER VICTORY COMMITTEE,"$5,600 ",2020,Republican,0.457,
742,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,MCSALLY SENATE VICTORY FUND 2020,"$5,600 ",2020,Republican,0.457,
743,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,TAYLOR FOR CONGRESS 2020,"$5,600 ",2020,Republican,0.457,
744,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,TEXANS FOR SENATOR JOHN CORNYN INC.,"$5,600 ",2020,Republican,0.457,
745,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,BOOZMAN FOR ARKANSAS,"$5,400 ",2016,Republican,0.622,
746,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,LIZ CHENEY FOR WYOMING,"$5,400 ",2016,Republican,0.622,
747,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,COMMITTEE TO RE-ELECT LORETTA SANCHEZ,"$5,400 ",2016,Democrat,0.622,
748,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,LOU CORREA FOR CONGRESS,"$5,400 ",2016,Democrat,0.622,
749,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,NORMA TORRES FOR CONGRESS,"$5,400 ",2016,Democrat,0.622,
750,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,SHERMAN FOR CONGRESS,"$5,400 ",2016,Democrat,0.622,
751,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,CRAMER FOR SENATE,"$5,400 ",2018,Republican,0.598,
752,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,MCSALLY FOR SENATE INC,"$5,400 ",2018,Republican,0.598,
753,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,MCSALLY SENATE VICTORY FUND,"$5,400 ",2018,Republican,0.598,
754,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,MIMI WALTERS VICTORY FUND,"$5,400 ",2018,Republican,0.598,
755,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,HELLER FOR SENATE,"$5,200 ",2016,Republican,0.622,
756,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,"LEADERSHIP MATTERS FOR AMERICA PAC, INC.","$5,000 ",2016,Republican,0.622,
757,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,LEADING ORANGE COUNTY PAC,"$5,000 ",2016,Democrat,0.622,
758,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,THE REAL ESTATE ROUNDTABLE POLITICAL ACTION COMMITTEE (REALPAC),"$5,000 ",2018,Bipartisan,0.598,
759,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,PERDUE VICTORY INC,"$5,000 ",2020,Republican,0.457,
760,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,THE REAL ESTATE ROUNDTABLE POLITICAL ACTION COMMITTEE (REALPAC),"$5,000 ",2020,Bipartisan,0.457,
761,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,DUNCAN D. HUNTER FOR CONGRESS,"$2,800 ",2020,Republican,0.457,
762,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,FRIENDS OF MATT GAETZ,"$2,800 ",2020,Republican,0.457,
763,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,GREG RATHS FOR CONGRESS 2020,"$2,800 ",2020,Republican,0.457,
764,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,TED LIEU FOR CONGRESS,"$2,700 ",2016,Democrat,0.622,
765,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,BAUGH FOR CONGRESS,"$2,700 ",2018,Republican,0.598,
766,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,LOU CORREA FOR CONGRESS,"$2,700 ",2018,Democrat,0.598,
767,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,"$2,600 ",2016,Democrat,0.622,
768,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,LUCILLE ROYBAL-ALLARD FOR CONGRESS,"$2,500 ",2016,Democrat,0.622,
769,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,ROHRABACHER FOR CONGRESS,"$2,500 ",2018,Republican,0.598,
770,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,MARIO DIAZ-BALART FOR CONGRESS,"$1,500 ",2018,Republican,0.598,
771,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,BILL SHUSTER FOR CONGRESS,"$1,000 ",2016,Republican,0.622,
772,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,JUSTIN FAREED FOR CONGRESS,"$1,000 ",2016,Republican,0.622,
773,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,RON JOHNSON FOR SENATE INC,"$1,000 ",2016,Republican,0.622,
774,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,JUSTIN FAREED FOR CONGRESS,"$1,000 ",2018,Republican,0.598,
775,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,NORMA TORRES FOR CONGRESS,"$1,000 ",2018,Democrat,0.598,
776,Edward P. Roski Jr.,LOS ANGELES KINGS,NHL,BONAMICI FOR CONGRESS,$500 ,2018,Democrat,0.598,
777,Fred Wilpon,NEW YORK METS,MLB,America Leads,"$100,000 ",2016,Republican,0.537,
778,Fred Wilpon,NEW YORK METS,MLB,Office of the Commissioner of Major League Baseball PAC,"$6,667 ",2018,Bipartisan,0.475,
779,Fred Wilpon,NEW YORK METS,MLB,Office of the Commissioner of Major League Baseball PAC,"$6,667 ",2016,Bipartisan,0.537,
780,Fred Wilpon,NEW YORK METS,MLB,Steve Israel for Congress Committee,"$5,400 ",2016,Democrat,0.537,
781,Fred Wilpon,NEW YORK METS,MLB,Kohl for Congress,"$5,400 ",2018,Democrat,0.475,
782,Fred Wilpon,NEW YORK METS,MLB,Office of the Commissioner of Major League Baseball PAC,"$3,333 ",2020,Bipartisan,0.433,
783,Fred Wilpon,NEW YORK METS,MLB,Meeks Victory Fund,"$3,032 ",2020,Democrat,0.433,
784,Fred Wilpon,NEW YORK METS,MLB,Team Rick Scott,"$2,997 ",2020,Republican,0.433,
785,Fred Wilpon,NEW YORK METS,MLB,Suozzi Victory Fund,"$2,938 ",2018,Democrat,0.475,
786,Fred Wilpon,NEW YORK METS,MLB,Crowley Leadership Fund,"$2,772 ",2018,Democrat,0.475,
787,Fred Wilpon,NEW YORK METS,MLB,Chris Christie for President Inc.,"$2,700 ",2016,Republican,0.537,
788,Fred Wilpon,NEW YORK METS,MLB,Crowley Leadership Fund,"$1,768 ",2016,Democrat,0.537,
789,Fred Wilpon,NEW YORK METS,MLB,Engel for Congress,"$1,518 ",2018,Democrat,0.475,
790,Fred Wilpon,NEW YORK METS,MLB,Suozzi for Congress,"$1,400 ",2016,Democrat,0.537,
791,Fred Wilpon,NEW YORK METS,MLB,Pete King for Congress Committee,"$1,000 ",2016,Republican,0.537,
792,Fred Wilpon,NEW YORK METS,MLB,Charlie Crist for Congress,"$1,000 ",2018,Democrat,0.475,
793,Fred Wilpon,NEW YORK METS,MLB,Donovan for Congress,$280 ,2016,Republican,0.537,
794,Gail Miller,UTAH JAZZ,NBA,UTAH REPUBLICAN PARTY,"$10,000 ",2016,Republican,0.488,
795,Gail Miller,UTAH JAZZ,NBA,BELIEVE IN UTAH JOINT FUNDRAISING COMMITTEE,"$10,000 ",2020,Republican,0.611,
796,Gail Miller,UTAH JAZZ,NBA,UTAH REPUBLICAN PARTY,"$10,000 ",2020,Republican,0.611,
797,Gail Miller,UTAH JAZZ,NBA,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,"$10,000 ",2020,"Bipartisan, but mostly Republican",0.611,
798,Gail Miller,UTAH JAZZ,NBA,FRIENDS OF BEN MCADAMS,"$5,600 ",2020,Democrat,0.611,
799,Gail Miller,UTAH JAZZ,NBA,"JEB 2016, INC.","$5,400 ",2016,Republican,0.488,
800,Gail Miller,UTAH JAZZ,NBA,ROMNEY FOR UTAH INC,"$5,400 ",2018,Republican,0.585,
801,Gail Miller,UTAH JAZZ,NBA,FRIENDS OF BEN MCADAMS,"$5,400 ",2018,Democrat,0.585,
802,Gail Miller,UTAH JAZZ,NBA,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,"$5,000 ",2016,"Bipartisan, but mostly Republican",0.488,
803,Gail Miller,UTAH JAZZ,NBA,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,"$5,000 ",2018,"Bipartisan, but mostly Republican",0.585,
804,Gail Miller,UTAH JAZZ,NBA,CURTIS FOR CONGRESS,"$2,800 ",2020,Republican,0.611,
805,Gail Miller,UTAH JAZZ,NBA,"FRIENDS FOR CHRIS STEWART, INC.","$2,800 ",2020,Republican,0.611,
806,Gail Miller,UTAH JAZZ,NBA,CURTIS FOR CONGRESS,"$2,500 ",2018,Republican,0.585,
807,Gail Miller,UTAH JAZZ,NBA,FRIENDS OF MIA LOVE,"$2,500 ",2018,Republican,0.585,
808,Gail Miller,UTAH JAZZ,NBA,UTAH STATE DEMOCRATIC COMMITTEE,"$2,500 ",2018,Democrat,0.585,
809,Gail Miller,UTAH JAZZ,NBA,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,"$2,500 ",2020,"Bipartisan, but mostly Republican",0.611,
810,Gail Miller,UTAH JAZZ,NBA,BLAKE MOORE FOR CONGRESS,"$1,500 ",2020,Republican,0.611,
811,Gail Miller,UTAH JAZZ,NBA,FRIENDS OF MIKE LEE INC,"$1,000 ",2016,Republican,0.488,
812,Gail Miller,UTAH JAZZ,NBA,"THE NATIONAL ASSOCIATION OF PROFESSIONAL BASEBALL LEAGUES, INC. PAC, (MINOR LEAGUE BASEBALL PAC)","$1,000 ",2018,Bipartisan,0.585,
813,Gail Miller,UTAH JAZZ,NBA,FRIENDS OF KERRY W. GIBSON,"$1,000 ",2020,Republican,0.611,
814,Gail Miller,UTAH JAZZ,NBA,"THE NATIONAL ASSOCIATION OF PROFESSIONAL BASEBALL LEAGUES, INC. PAC, (MINOR LEAGUE BASEBALL PAC)","$1,000 ",2020,Bipartisan,0.611,
815,Gayle Benson,NEW ORLEANS PELICANS NEW ORLEANS SAINTS,"NBA, NFL","JEB 2016, INC.","$2,700 ",2016,Republican,0.402,
819,George H. McCaskey,CHICAGO BEARS,NFL,Gridiron-PAC,"$5,000 ",2016,Bipartisan,0.188,
820,George H. McCaskey,CHICAGO BEARS,NFL,Gridiron-PAC,"$5,000 ",2018,Bipartisan,0.75,
821,George H. McCaskey,CHICAGO BEARS,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan,0.5,
822,Ginny Gilder,SEATTLE STORM,WNBA,DEMOCRATIC PARTY OF WISCONSIN,"$7,000 ",2020,Democrat,0.818,
823,Ginny Gilder,SEATTLE STORM,WNBA,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,"$7,000 ",2020,Democrat,0.818,
824,Ginny Gilder,SEATTLE STORM,WNBA,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,"$7,000 ",2020,Democrat,0.818,
825,Ginny Gilder,SEATTLE STORM,WNBA,OHIO DEMOCRATIC PARTY,"$7,000 ",2020,Democrat,0.818,
826,Ginny Gilder,SEATTLE STORM,WNBA,WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE,"$7,000 ",2020,Democrat,0.818,
828,Ginny Gilder,SEATTLE STORM,WNBA,JON OSSOFF FOR CONGRESS,$500 ,2018,Democrat,0.765,
829,Ginny Gilder,SEATTLE STORM,WNBA,CORY 2020,$250 ,2020,Democrat,0.818,
830,Ginny Gilder,SEATTLE STORM,WNBA,ACTBLUE,$100 ,2018,Democrat,0.765,
831,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",SAVE OUR SENATE COMMITTEE,"$13,500 ",2016,Republican,0.354,
832,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",ALASKANS FOR DAN SULLIVAN,"$5,600 ",2020,Republican,0.297,
833,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",COLLINS FOR SENATOR,"$5,600 ",2020,Republican,0.297,
834,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",CORY GARDNER FOR SENATE,"$5,600 ",2020,Republican,0.297,
835,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA","JOHN JAMES FOR SENATE, INC.","$5,600 ",2020,Republican,0.297,
836,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",MCSALLY FOR SENATE INC,"$5,600 ",2020,Republican,0.297,
837,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",PERDUE FOR SENATE,"$5,600 ",2020,Republican,0.297,
838,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",STEVE DAINES FOR MONTANA,"$5,600 ",2020,Republican,0.297,
839,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",THOM TILLIS COMMITTEE,"$5,600 ",2020,Republican,0.297,
840,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",ERNST VICTORY IOWA,"$2,800 ",2020,Republican,0.297,
841,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",FRIENDS OF JOE HECK,"$2,700 ",2016,Republican,0.354,
842,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",FRIENDS OF KELLY AYOTTE INC,"$2,700 ",2016,Republican,0.354,
843,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",FRIENDS OF PAT TOOMEY,"$2,700 ",2016,Republican,0.354,
844,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",JOHN KENNEDY FOR US,"$2,700 ",2016,Republican,0.354,
845,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",KIRK FOR SENATE,"$2,700 ",2016,Republican,0.354,
846,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",MARCO RUBIO FOR SENATE 2016,"$2,700 ",2016,Republican,0.354,
847,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",PORTMAN FOR SENATE COMMITTEE,"$2,700 ",2016,Republican,0.354,
848,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",RON JOHNSON FOR SENATE INC,"$2,700 ",2016,Republican,0.354,
849,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",THE RICHARD BURR COMMITTEE,"$2,700 ",2016,Republican,0.354,
850,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",CITIZENS FOR JOSH MANDEL INC,"$2,700 ",2018,Republican,0.573,
851,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",CRAMER FOR SENATE,"$2,700 ",2018,Republican,0.573,
852,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",HELLER FOR SENATE,"$2,700 ",2018,Republican,0.573,
853,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",HOUSLEY FOR SENATE COMMITTEE,"$2,700 ",2018,Republican,0.573,
854,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",JEFF FLAKE FOR US SENATE INC,"$2,700 ",2018,Republican,0.573,
855,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",JOSH HAWLEY FOR SENATE,"$2,700 ",2018,Republican,0.573,
856,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",KING FOR CONGRESS,"$2,700 ",2018,Republican,0.573,
857,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",MATT ROSENDALE FOR MONTANA,"$2,700 ",2018,Republican,0.573,
858,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",MCSALLY FOR SENATE INC,"$2,700 ",2018,Republican,0.573,
859,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",MIKE BRAUN FOR INDIANA,"$2,700 ",2018,Republican,0.573,
860,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",MORRISEY FOR SENATE INC,"$2,700 ",2018,Republican,0.573,
861,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",FRIENDS OF ERIK PAULSEN,"$2,000 ",2018,Republican,0.573,
862,Glen Taylor,MINNESOTA TIMBERWOLVES MINNESOTA LYNX,"NBA, WNBA",FRIENDS OF HAGEDORN,"$2,000 ",2018,Republican,0.573,
863,Greg Johnson,SAN FRANCISCO GIANTS,MLB,Alex Mooney for Congress,"$5,600 ",2020,Republican,0.483,
864,Greg Johnson,SAN FRANCISCO GIANTS,MLB,Alex Mooney for Congress,"$5,400 ",2018,Republican,0.451,
865,Greg Johnson,SAN FRANCISCO GIANTS,MLB,Mooney Victory Fund,"$5,000 ",2018,Republican,0.451,
866,Greg Johnson,SAN FRANCISCO GIANTS,MLB,Marsha for Senate,"$2,000 ",2018,Republican,0.451,
867,Greg Johnson,SAN FRANCISCO GIANTS,MLB,Perdue for Senate,"$1,000 ",2018,Republican,0.451,
868,Greg Johnson,SAN FRANCISCO GIANTS,MLB,Texans for Senator John Cornyn Inc.,"$1,000 ",2018,Republican,0.451,
869,Hal Steinbrenner,NEW YORK YANKEES,MLB,Office of the Commissioner of Major League Baseball PAC,"$5,000 ",2020,Bipartisan,0.55,
870,Harvey Alter,CHICAGO SKY,WNBA,KHAZEI FOR CONGRESS,$500 ,2020,Democrat,0.545,
871,Henry and Susan Samueli,ANAHEIM DUCKS,NHL,PROTECT THE HOUSE,"$50,000 ",2018,Republican,0.616,
872,Henry and Susan Samueli,ANAHEIM DUCKS,NHL,CALIFORNIA VICTORY 2018,"$35,000 ",2018,Republican,0.616,
873,Henry and Susan Samueli,ANAHEIM DUCKS,NHL,TAKE BACK THE HOUSE 2020,"$25,000 ",2020,Republican,0.472,
874,Henry and Susan Samueli,ANAHEIM DUCKS,NHL,SENATE IMPACT: MN & NV,"$16,200 ",2018,Democrat,0.616,
875,Henry and Susan Samueli,ANAHEIM DUCKS,NHL,HOUSLEY FOR SENATE COMMITTEE,"$10,800 ",2018,Republican,0.616,
876,Henry and Susan Samueli,ANAHEIM DUCKS,NHL,FUND FOR THE MAJORITY PAC,"$10,000 ",2020,Democrat,0.472,
877,Henry and Susan Samueli,ANAHEIM DUCKS,NHL,LORETTA SANCHEZ FOR SENATE,"$5,400 ",2016,Democrat,0.628,
878,Henry and Susan Samueli,ANAHEIM DUCKS,NHL,MCCONNELL FOR MAJORITY LEADER COMMITTEE,"$5,000 ",2020,Republican,0.472,
879,Henry and Susan Samueli,ANAHEIM DUCKS,NHL,SHAWN NELSON FOR CONGRESS,"$3,700 ",2018,Republican,0.616,
880,Henry and Susan Samueli,ANAHEIM DUCKS,NHL,BROADCOM INC. POLITICAL ACTION COMMITTEE (BROADCOM PAC),"$1,000 ",2018,Bipartisan,0.616,
881,Henry and Susan Samueli,ANAHEIM DUCKS,NHL,BROADCOM INC. POLITICAL ACTION COMMITTEE (BROADCOM PAC),"$1,000 ",2020,Bipartisan,0.472,
882,Herbert Fritch,NASHVILLE PREDATORS,NHL,SMP,"$11,100 ",2020,Democrat,0.565,
883,Herbert Fritch,NASHVILLE PREDATORS,NHL,RIGHT TO RISE USA,"$10,000 ",2016,Republican,0.585,
884,Herbert Fritch,NASHVILLE PREDATORS,NHL,CIGNA CORPORATION POLITICAL ACTION COMMITTEE,"$9,216 ",2016,Bipartisan,0.585,
885,Herbert Fritch,NASHVILLE PREDATORS,NHL,COOPER FOR CONGRESS,"$5,600 ",2020,Democrat,0.565,
886,Herbert Fritch,NASHVILLE PREDATORS,NHL,HOUSLEY FOR SENATE COMMITTEE,"$5,400 ",2018,Republican,0.713,
887,Herbert Fritch,NASHVILLE PREDATORS,NHL,"MARSHA BLACKBURN FOR CONGRESS, INC.","$2,000 ",2016,Republican,0.585,
888,Herbert Fritch,NASHVILLE PREDATORS,NHL,"LEE, SHEILA JACKSON","$2,000 ",2016,Democrat,0.585,
889,Herbert Fritch,NASHVILLE PREDATORS,NHL,BIDEN FOR PRESIDENT,"$1,000 ",2020,Democrat,0.565,
890,Herbert Fritch,NASHVILLE PREDATORS,NHL,DCCC,"$1,000 ",2020,Democrat,0.565,
891,Herbert Fritch,NASHVILLE PREDATORS,NHL,COOPER FOR CONGRESS,$500 ,2016,Democrat,0.585,
892,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",SMP,"$126,900 ",2018,Democrat,0.585,
893,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",HILLARY VICTORY FUND,"$50,000 ",2016,Democrat,0.549,
894,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",TEAM HOLCOMB,"$50,000 ",2018,Republican,0.585,
895,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",TEAM HOLCOMB,"$50,000 ",2020,Republican,0.616,
896,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",DONNELLY VICTORY FUND,"$32,700 ",2018,Democrat,0.585,
897,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",SENATE MAJORITY PAC,"$25,000 ",2016,Democrat,0.549,
898,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE,"$15,000 ",2016,Democrat,0.549,
899,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",INTERNATIONAL COUNCIL OF SHOPPING CENTERS INC POLITICAL ACTION COMMITTEE (ICSC PAC),"$10,000 ",2016,"Bipartisan, but mostly Republican",0.549,
900,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",INTERNATIONAL COUNCIL OF SHOPPING CENTERS INC POLITICAL ACTION COMMITTEE (ICSC PAC),"$10,000 ",2018,"Bipartisan, but mostly Republican",0.585,
901,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE,"$10,000 ",2020,Democrat,0.616,
902,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",MARCO RUBIO FOR PRESIDENT,"$5,400 ",2016,Republican,0.549,
903,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",BARON HILL FOR INDIANA,"$5,400 ",2016,Democrat,0.549,
904,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",KOHL FOR CONGRESS,"$5,400 ",2018,Democrat,0.585,
905,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",NEW GENERATION PAC,"$5,000 ",2016,,0.549,
906,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",ALL AMERICA PAC,"$5,000 ",2016,Democrat,0.549,
907,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",INTERNATIONAL COUNCIL OF SHOPPING CENTERS INC POLITICAL ACTION COMMITTEE (ICSC PAC),"$5,000 ",2020,"Bipartisan, but mostly Republican",0.616,
908,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA","THE NATIONAL ASSOCIATION OF PROFESSIONAL BASEBALL LEAGUES, INC. PAC, (MINOR LEAGUE BASEBALL PAC)","$5,000 ",2020,Bipartisan,0.616,
909,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",ANDRE CARSON FOR CONGRESS,"$4,700 ",2018,Democrat,0.585,
910,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA","THE NATIONAL ASSOCIATION OF PROFESSIONAL BASEBALL LEAGUES, INC. PAC, (MINOR LEAGUE BASEBALL PAC)","$4,000 ",2018,Bipartisan,0.585,
911,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",ANDRE CARSON FOR CONGRESS,"$3,700 ",2016,Democrat,0.549,
912,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",SCHOLTEN4IOWA CAMPAIGN COMMITTEE,"$3,700 ",2018,Democrat,0.585,
913,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",JAIME HARRISON FOR US SENATE,"$3,650 ",2020,Democrat,0.616,
914,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA","AMY MCGRATH FOR SENATE, INC.","$2,800 ",2020,Democrat,0.616,
915,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",ANDRE CARSON FOR CONGRESS,"$2,800 ",2020,Democrat,0.616,
916,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",BIDEN FOR PRESIDENT,"$2,800 ",2020,Democrat,0.616,
917,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",MATT LIEBERMAN FOR SENATE,"$2,800 ",2020,Democrat,0.616,
918,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",CHRIS CHRISTIE FOR PRESIDENT INC,"$2,700 ",2016,Republican,0.549,
919,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",CRUZ FOR PRESIDENT,"$2,700 ",2016,Republican,0.549,
920,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",FRIENDS OF JOE HECK,"$2,700 ",2016,Republican,0.549,
921,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",FRIENDS OF KELLY AYOTTE INC,"$2,700 ",2016,Republican,0.549,
922,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",FRIENDS OF PAT TOOMEY,"$2,700 ",2016,Republican,0.549,
923,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA","FRIENDS OF TODD YOUNG, INC.","$2,700 ",2016,Republican,0.549,
924,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA","JEB 2016, INC.","$2,700 ",2016,Republican,0.549,
925,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",EVAN BAYH COMMITTEE,"$2,700 ",2016,Democrat,0.549,
926,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",FRIENDS OF SUSAN BROOKS,"$2,700 ",2018,Republican,0.585,
927,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",GREG PENCE FOR CONGRESS,"$2,700 ",2018,Republican,0.585,
928,Herbert Simon,INDIANA PACERS INDIANA FEVER,"NBA, WNBA",GREG PENCE VICTORY,"$2,700 ",2018,Republican,0.585,
